Code,Description of Goods
96.19.00.23-00,"Sanitary towels (pads) and tampons, napkins (diapers), napkin liners and similar articles, of any material. - Napkins (diapers), napkin (diaper) liners and similar articles for babies: - Knitted or crocheted"
96.19.00.24-00,"Sanitary towels (pads) and tampons, napkins (diapers), napkin liners and similar articles, of any material. - Napkins (diapers), napkin (diaper) liners and similar articles for babies: - Not knitted or crocheted, of cotton"
96.19.00.25-00,"Sanitary towels (pads) and tampons, napkins (diapers), napkin liners and similar articles, of any material. - Napkins (diapers), napkin (diaper) liners and similar articles for babies: - Not knitted or crocheted, of synthetic fibres"
96.19.00.29-00,"Sanitary towels (pads) and tampons, napkins (diapers), napkin liners and similar articles, of any material. - Napkins (diapers), napkin (diaper) liners and similar articles for babies: - Other"
96.19.00.91-00,"Sanitary towels (pads) and tampons, napkins (diapers), napkin liners and similar articles, of any material. - Other: - Of paper pulp, paper, cellulose wadding or webs of cellulose fibres"
96.19.00.92-00,"Sanitary towels (pads) and tampons, napkins (diapers), napkin liners and similar articles, of any material. - Other: - Of textile wadding"
96.19.00.99-00,"Sanitary towels (pads) and tampons, napkins (diapers), napkin liners and similar articles, of any material. - Other: - Other"
00.96.20.00,"Monopods, bipods, tripods and similar articles."
96.20.00.10-00,"Monopods, bipods, tripods and similar articles. - For binoculars or telescopes of heading 90.05;
For cinematographic cameras;
For goods of heading 84.71, 85.17 or 85.21;
For surveying, hydrographic, oceanographic, hydrological, meteorological or geophysical instruments and appliances"
96.20.00.21-00,"Monopods, bipods, tripods and similar articles. - For photographic cameras: - Tripods"
96.20.00.29-00,"Monopods, bipods, tripods and similar articles. - For photographic cameras: - Other"
96.20.00.30-00,"Monopods, bipods, tripods and similar articles. - For monoculars;
For other astronomical instruments"
96.20.00.40-00,"Monopods, bipods, tripods and similar articles. - For other machines, appliances, instruments or apparatus of Chapter 90"
96.20.00.91-00,"Monopods, bipods, tripods and similar articles. - Other: - Of graphite or other carbon"
96.20.00.92-00,"Monopods, bipods, tripods and similar articles. - Other: - Of wood"
96.20.00.93-00,"Monopods, bipods, tripods and similar articles. - Other: - Of aluminum"
96.20.00.99-00,"Monopods, bipods, tripods and similar articles. - Other: - Other"
00.00.97.01,"Paintings, drawings and pastels, executed entirely by hand, other than drawings of heading 49.06 and other than hand-painted or hand-decorated manufactured articles; collages, mosaics and similar decorative plaques."
00.97.01.21,"Paintings, drawings and pastels, executed entirely by hand, other than drawings of heading 49.06 and other than hand-painted or hand-decorated manufactured articles; collages, mosaics and similar decorative plaques. - Of an age exceeding 100 years: - Paintings, drawings and pastels"
97.01.21.10,"Paintings, drawings and pastels, executed entirely by hand, other than drawings of heading 49.06 and other than hand-painted or hand-decorated manufactured articles; collages, mosaics and similar decorative plaques. - Of an age exceeding 100 years: - Paintings, drawings and pastels - Originals by artists

Note:  The General Tariff rate that applies to goods of this tariff item is the Most-Favoured-Nation Tariff rate."
97.01.21.10-10,"Paintings, drawings and pastels, executed entirely by hand, other than drawings of heading 49.06 and other than hand-painted or hand-decorated manufactured articles; collages, mosaics and similar decorative plaques. - Of an age exceeding 100 years: - Paintings, drawings and pastels - Originals by artists

Note:  The General Tariff rate that applies to goods of this tariff item is the Most-Favoured-Nation Tariff rate. - Paintings"
97.01.21.10-90,"Paintings, drawings and pastels, executed entirely by hand, other than drawings of heading 49.06 and other than hand-painted or hand-decorated manufactured articles; collages, mosaics and similar decorative plaques. - Of an age exceeding 100 years: - Paintings, drawings and pastels - Originals by artists

Note:  The General Tariff rate that applies to goods of this tariff item is the Most-Favoured-Nation Tariff rate. - Other"
97.01.21.90-00,"Paintings, drawings and pastels, executed entirely by hand, other than drawings of heading 49.06 and other than hand-painted or hand-decorated manufactured articles; collages, mosaics and similar decorative plaques. - Of an age exceeding 100 years: - Paintings, drawings and pastels - Other"
00.97.01.22,"Paintings, drawings and pastels, executed entirely by hand, other than drawings of heading 49.06 and other than hand-painted or hand-decorated manufactured articles; collages, mosaics and similar decorative plaques. - Of an age exceeding 100 years: - Mosaics"
97.01.22.10-00,"Paintings, drawings and pastels, executed entirely by hand, other than drawings of heading 49.06 and other than hand-painted or hand-decorated manufactured articles; collages, mosaics and similar decorative plaques. - Of an age exceeding 100 years: - Mosaics - Originals by artists

Note:  The General Tariff rate that applies to goods of this tariff item is the Most-Favoured-Nation Tariff rate."
97.01.22.90-00,"Paintings, drawings and pastels, executed entirely by hand, other than drawings of heading 49.06 and other than hand-painted or hand-decorated manufactured articles; collages, mosaics and similar decorative plaques. - Of an age exceeding 100 years: - Mosaics - Other"
00.97.01.29,"Paintings, drawings and pastels, executed entirely by hand, other than drawings of heading 49.06 and other than hand-painted or hand-decorated manufactured articles; collages, mosaics and similar decorative plaques. - Of an age exceeding 100 years: - Other"
97.01.29.10-00,"Paintings, drawings and pastels, executed entirely by hand, other than drawings of heading 49.06 and other than hand-painted or hand-decorated manufactured articles; collages, mosaics and similar decorative plaques. - Of an age exceeding 100 years: - Other - Original collages and similar decorative plaques by artists

Note:  The General Tariff rate that applies to goods of this tariff item is the Most-Favoured-Nation Tariff rate."
97.01.29.90-00,"Paintings, drawings and pastels, executed entirely by hand, other than drawings of heading 49.06 and other than hand-painted or hand-decorated manufactured articles; collages, mosaics and similar decorative plaques. - Of an age exceeding 100 years: - Other - Other"
00.97.01.91,"Paintings, drawings and pastels, executed entirely by hand, other than drawings of heading 49.06 and other than hand-painted or hand-decorated manufactured articles; collages, mosaics and similar decorative plaques. - Other : - Paintings, drawings and pastels"
97.01.91.10,"Paintings, drawings and pastels, executed entirely by hand, other than drawings of heading 49.06 and other than hand-painted or hand-decorated manufactured articles; collages, mosaics and similar decorative plaques. - Other : - Paintings, drawings and pastels - Originals by artists

Note:  The General Tariff rate that applies to goods of this tariff item is the Most-Favoured-Nation Tariff rate."
97.01.91.10-10,"Paintings, drawings and pastels, executed entirely by hand, other than drawings of heading 49.06 and other than hand-painted or hand-decorated manufactured articles; collages, mosaics and similar decorative plaques. - Other : - Paintings, drawings and pastels - Originals by artists

Note:  The General Tariff rate that applies to goods of this tariff item is the Most-Favoured-Nation Tariff rate. - Paintings"
97.01.91.10-90,"Paintings, drawings and pastels, executed entirely by hand, other than drawings of heading 49.06 and other than hand-painted or hand-decorated manufactured articles; collages, mosaics and similar decorative plaques. - Other : - Paintings, drawings and pastels - Originals by artists

Note:  The General Tariff rate that applies to goods of this tariff item is the Most-Favoured-Nation Tariff rate. - Other"
97.01.91.90-00,"Paintings, drawings and pastels, executed entirely by hand, other than drawings of heading 49.06 and other than hand-painted or hand-decorated manufactured articles; collages, mosaics and similar decorative plaques. - Other : - Paintings, drawings and pastels - Other"
00.97.01.92,"Paintings, drawings and pastels, executed entirely by hand, other than drawings of heading 49.06 and other than hand-painted or hand-decorated manufactured articles; collages, mosaics and similar decorative plaques. - Other : - Mosaics"
97.01.92.10-00,"Paintings, drawings and pastels, executed entirely by hand, other than drawings of heading 49.06 and other than hand-painted or hand-decorated manufactured articles; collages, mosaics and similar decorative plaques. - Other : - Mosaics - Originals by artists

Note:  The General Tariff rate that applies to goods of this tariff item is the Most-Favoured-Nation Tariff rate."
97.01.92.90-00,"Paintings, drawings and pastels, executed entirely by hand, other than drawings of heading 49.06 and other than hand-painted or hand-decorated manufactured articles; collages, mosaics and similar decorative plaques. - Other : - Mosaics - Other"
00.97.01.99,"Paintings, drawings and pastels, executed entirely by hand, other than drawings of heading 49.06 and other than hand-painted or hand-decorated manufactured articles; collages, mosaics and similar decorative plaques. - Other : - Other"
97.01.99.10-00,"Paintings, drawings and pastels, executed entirely by hand, other than drawings of heading 49.06 and other than hand-painted or hand-decorated manufactured articles; collages, mosaics and similar decorative plaques. - Other : - Other - Original collages and similar decorative plaques by artists

Note:  The General Tariff rate that applies to goods of this tariff item is the Most-Favoured-Nation Tariff rate."
97.01.99.90-00,"Paintings, drawings and pastels, executed entirely by hand, other than drawings of heading 49.06 and other than hand-painted or hand-decorated manufactured articles; collages, mosaics and similar decorative plaques. - Other : - Other - Other"
00.00.97.02,"Original engravings, prints and lithographs.Note:  The General Tariff rate that applies to goods of this tariff item             is the Most-Favoured-Nation Tariff rate."
97.02.10.00-00,"Original engravings, prints and lithographs.
 - Of an age exceeding 100 yearsNote:  The General Tariff rate that applies to goods of this tariff item is the Most-Favoured-Nation Tariff rate."
97.02.90.00-00,"Original engravings, prints and lithographs.
 - OtherNote:  The General Tariff rate that applies to goods of this tariff item is the Most-Favoured-Nation Tariff rate."
00.00.97.03,"Original sculpture and statuary, in any material."
97.03.10.00-00,"Original sculpture and statuary, in any material. - Of an age exceeding 100 yearsNote:  The General Tariff rate that applies to goods of this tariff item is the Most-Favoured-Nation Tariff rate."
97.03.90.00-00,"Original sculpture and statuary, in any material. - OtherNote:  The General Tariff rate that applies to goods of this tariff item is the Most-Favoured-Nation Tariff rate."
97.04.00.00-00,"Postage or revenue stamps, stamp-postmarks, first-day covers, postal stationery (stamped paper), and the like, used or unused, other than those of heading 49.07.Note:  The General Tariff rate that applies to goods of this tariff item is the Most-Favoured-Nation Tariff rate."
00.00.97.05,"Collections and collectors' pieces of archaeological, ethnographic, historical, zoological, botanical, mineralogical, anatomical, paleontological or numismatic interest."
97.05.10.00-00,"Collections and collectors' pieces of archaeological, ethnographic, historical, zoological, botanical, mineralogical, anatomical, paleontological or numismatic interest. - Collections and collectors' pieces of archaeological, ethnographic or historical interestNote:  The General Tariff rate that applies to goods of this tariff item is the Most-Favoured-Nation Tariff rate."
97.05.21.00-00,"Collections and collectors' pieces of archaeological, ethnographic, historical, zoological, botanical, mineralogical, anatomical, paleontological or numismatic interest. - Collections and collectors' pieces of zoological, botanical, mineralogical, anatomical or paleontological interest: - Human specimens and parts thereofNote:  The General Tariff rate that applies to goods of this tariff item is the Most-Favoured-Nation Tariff rate."
97.05.22.00-00,"Collections and collectors' pieces of archaeological, ethnographic, historical, zoological, botanical, mineralogical, anatomical, paleontological or numismatic interest. - Collections and collectors' pieces of zoological, botanical, mineralogical, anatomical or paleontological interest: - Extinct or endangered species and parts thereofNote:  The General Tariff rate that applies to goods of this tariff item is the Most-Favoured-Nation Tariff rate."
97.05.29.00-00,"Collections and collectors' pieces of archaeological, ethnographic, historical, zoological, botanical, mineralogical, anatomical, paleontological or numismatic interest. - Collections and collectors' pieces of zoological, botanical, mineralogical, anatomical or paleontological interest: - OtherNote:  The General Tariff rate that applies to goods of this tariff item is the Most-Favoured-Nation Tariff rate."
97.05.31.00-00,"Collections and collectors' pieces of archaeological, ethnographic, historical, zoological, botanical, mineralogical, anatomical, paleontological or numismatic interest. - Collections and collectors' pieces of numismatic interest: - Of an age exceeding 100 yearsNote:  The General Tariff rate that applies to goods of this tariff item is the Most-Favoured-Nation Tariff rate."
97.05.39.00-00,"Collections and collectors' pieces of archaeological, ethnographic, historical, zoological, botanical, mineralogical, anatomical, paleontological or numismatic interest. - Collections and collectors' pieces of numismatic interest: - OtherNote:  The General Tariff rate that applies to goods of this tariff item is the Most-Favoured-Nation Tariff rate."
00.00.97.06,Antiques of an age exceeding 100 years.
97.06.10.00,Antiques of an age exceeding 100 years. - Of an age exceeding 250 yearsNote:  The General Tariff rate that applies to goods of this tariff item is the Most-Favoured-Nation Tariff rate.
97.06.10.00-10,Antiques of an age exceeding 100 years. - Of an age exceeding 250 yearsNote:  The General Tariff rate that applies to goods of this tariff item is the Most-Favoured-Nation Tariff rate. - Firearms
97.06.10.00-90,Antiques of an age exceeding 100 years. - Of an age exceeding 250 yearsNote:  The General Tariff rate that applies to goods of this tariff item is the Most-Favoured-Nation Tariff rate. - Other
97.06.90.00,Antiques of an age exceeding 100 years. - OtherNote:  The General Tariff rate that applies to goods of this tariff item is the Most-Favoured-Nation Tariff rate.
97.06.90.00-10,Antiques of an age exceeding 100 years. - OtherNote:  The General Tariff rate that applies to goods of this tariff item is the Most-Favoured-Nation Tariff rate. - Firearms
97.06.90.00-90,Antiques of an age exceeding 100 years. - OtherNote:  The General Tariff rate that applies to goods of this tariff item is the Most-Favoured-Nation Tariff rate. - Other
00.00.98.01,"Conveyances or containers of Chapters 86, 87, 88 or 89, engaged in the international commercial transportation of goods or passengers, including any ancillary equipment necessary to ensure the safety, security, containment and preservation of the goods or passengers."
00.98.01.10,"Conveyances or containers of Chapters 86, 87, 88 or 89, engaged in the international commercial transportation of goods or passengers, including any ancillary equipment necessary to ensure the safety, security, containment and preservation of the goods or passengers.
        - Conveyances and containers."
98.01.10.10-00,"Conveyances or containers of Chapters 86, 87, 88 or 89, engaged in the international commercial transportation of goods or passengers, including any ancillary equipment necessary to ensure the safety, security, containment and preservation of the goods or passengers.
        - Conveyances and containers.
        - Conveyances, not including trailers and semi-trailers of subheading 8716.31 or 8716.39,(a) on condition that:(i) in the case of vehicles, they are registered and licensed in a foreign country and operated in Canada with a vehicle licence issued by the appropriate provincial licensing authority;(ii) in the case of aircraft, they comply with the requirements of the Aeronautics Act and any regulations made thereunder; and(iii) in the case of vessels, they comply with the requirements of the Canada Shipping Act and Coasting Trade Act; and(b) on condition that the conveyances:(i) are owned or leased and imported by a person whose domicile is in a foreign country;(ii) leave from and return to the foreign country in the normal course of operation;(iii) are controlled from the foreign country; and(iv) are exported within 30 days of the date of their importation or for an additional period not exceeding 24 months where a customs officer is satisfied that the exportation of the conveyances is delayed because:(A) of adverse weather conditions;(B) the conveyances are being equipped, reconditioned, reconstructed, refurbished or repaired;(C) the conveyances have a major equipment breakdown;(D) the conveyances are detained under an order of a Canadian court, or under an Act of Parliament or the legislature of a province or any regulation made thereunder; or(E) the delivery of the goods to be loaded on or in the conveyances is delayed.The conveyances provided for in this tariff item may engage in the transportation of goods from one point in Canada to another point in Canada where:(a) that transportation is incidental to the international traffic of the goods;(b) the transportation does not occur outside the territorial limits of Canada; and(c) the conveyance has not entered Canada for the purpose of an in-transit movement through Canada to a point outside Canada."
98.01.10.20-00,"Conveyances or containers of Chapters 86, 87, 88 or 89, engaged in the international commercial transportation of goods or passengers, including any ancillary equipment necessary to ensure the safety, security, containment and preservation of the goods or passengers.
        - Conveyances and containers.
        - Containers, on condition that:
        (a) the ancillary equipment for the containers does not include vehicles, accessories, spare parts of vehicles or packaging, and
        (b) the containers:
        (i) are fully or partially enclosed to constitute a compartment intended for containing goods;
        (ii) are of a permanent character and suitable for repeated use;
        (iii) are designed to carry goods by one or more modes of transport without requiring intermediate reloading; and
        (iv) have an internal volume of a least 1 m³;
        (v) leave from and return to a foreign country in the normal course of operation; and
        (vi) are exported within 365 days of the date of their importation or for an additional period not exceeding 24 months where a customs officer is satisfied that the exportation of the containers is delayed because:
        (A) of adverse weather conditions;
        (B) the containers are being equipped, reconditioned, reconstructed, refurbished or repaired;
        (C) the containers have a major equipment breakdown;
        (D) the containers are detained under an order of a Canadian court, or under an Act of Parliament or the legislature of a province or any regulation made thereunder; or
        (E) the delivery of the goods to be loaded in the containers is delayed.
        The containers provided for in this tariff item may engage in the transportation of goods from one point in Canada to another point in Canada where:
        (a) the transportation does not occur outside the territorial limits of Canada; and
        (b) the container has not entered Canada for the purpose of an in-transit movement through Canada to a point outside of Canada."
98.01.10.30-00,"Conveyances or containers of Chapters 86, 87, 88 or 89, engaged in the international commercial transportation of goods or passengers, including any ancillary equipment necessary to ensure the safety, security, containment and preservation of the goods or passengers.
        - Conveyances and containers.
        - Trailers and semi-trailers of subheading 8716.31 or 8716.39, on condition that they: (a) are registered and licensed in a foreign country and operated in Canada with a vehicle licence issued by the appropriate provincial licensing authority; (b) leave from and return to the foreign country in the normal course of operation; (c) are exported within 30 days of the date of their importation or for an additional period not exceeding 24 months where a customs officer is satisfied that the exportation of the trailers or semi-trailers is delayed because: (i) of adverse weather conditions;(ii) the trailers or semi-trailers are being equipped, reconditioned, reconstructed, refurbished or repaired;(iii) the trailers or semi-trailers have a major equipment breakdown;(iv) the trailers or semi-trailers are detained under an order of a Canadian court, or under an Act of Parliament or the legislature of a province or any regulation made thereunder; or(v) the delivery of the goods to be loaded on or in the trailer or semi-trailer is delayed.The trailers and semi-trailers provided for in this tariff item may engage in the transportation of goods from one point in Canada to another point in Canada where:(a) that transportation is incidental to the international traffic of the goods;(b) the transportation does not occur outside the territorial limits of Canada; and(c) the trailer or semi-trailer has not entered Canada for the purpose of an in-transit movement through Canada to a point outside of Canada."
98.01.20.00-00,"Conveyances or containers of Chapters 86, 87, 88 or 89, engaged in the international commercial transportation of goods or passengers, including any ancillary equipment necessary to ensure the safety, security, containment and preservation of the goods or passengers.
        - Locomotives or railway rolling stock or miscellaneous railway equipment, regardless of tariff treatment entitlement or country of origin, owned or under the control of a railway company in the United States, temporarily engaged in the transportation of goods or passengers from a place in Canada to another place in Canada or imported on a temporary basis for the repair, testing or maintenance of railways in Canada."
98.01.30.00-00,"Conveyances or containers of Chapters 86, 87, 88 or 89, engaged in the international commercial transportation of goods or passengers, including any ancillary equipment necessary to ensure the safety, security, containment and preservation of the goods or passengers.
        - Vessels engaged in international commercial transportation having a Canadian base of operation, other than those having both the departure and destination points situated on the St. Lawrence River or the Great Lakes."
98.02.00.00-00,Conveyances temporarily imported by a resident of Canada to be employed in the international non-commercial transportation of that person and accompanying persons using the same conveyance.
98.03.00.00-00,Conveyances and baggage temporarily imported by a person who is not a resident of Canada for use by that person in Canada.
00.00.98.04,"Goods acquired abroad by a resident or temporary resident of Canada or by a former resident who is returning to Canada to resume residence, for the personal or household use of that person or as souvenirs or gifts, but not bought on commission or as an accommodation for any other person or for sale, and reported by that person at time of return to Canada."
98.04.10.00-00,"Goods acquired abroad by a resident or temporary resident of Canada or by a former resident who is returning to Canada to resume residence, for the personal or household use of that person or as souvenirs or gifts, but not bought on commission or as an accommodation for any other person or for sale, and reported by that person at time of return to Canada. - Valued at not more than eight hundred dollars and included in the baggage accompanying the person returning from abroad after an absence from Canada of not less than forty-eight hours. For the purpose of this tariff item, goods may include either wine not exceeding 1.5 litres or any alcoholic beverages not exceeding 1.14 litres, tobacco not exceeding fifty cigars, two hundred cigarettes, two hundred tobacco sticks and two hundred grams of manufactured tobacco, and vaping products not exceeding 120 millilitres of vaping substance in liquid form, or 120 grams of vaping substance in solid form, within any combination of not more than twelve vaping devices and immediate containers."
98.04.20.00-00,"Goods acquired abroad by a resident or temporary resident of Canada or by a former resident who is returning to Canada to resume residence, for the personal or household use of that person or as souvenirs or gifts, but not bought on commission or as an accommodation for any other person or for sale, and reported by that person at time of return to Canada. - Valued at not more than eight hundred dollars, whether or not included in the baggage accompanying the person returning from abroad after an absence from Canada of not less than seven days. For the purpose of this tariff item: (a) goods may include either wine not exceeding 1.5 litres or any alcoholic beverages not exceeding 1.14 litres, tobacco not exceeding fifty cigars, two hundred cigarettes, two hundred tobacco sticks and two hundred grams of manufactured tobacco, and vaping products not exceeding 120 millilitres of vaping substance in liquid form, or 120 grams of vaping substance in solid form, within any combination of not more than twelve vaping devices and immediate containers, if included in the baggage accompanying the person at the time of return to Canada; and
        (b) if goods (other than alcoholic beverages, cigars, cigarettes, tobacco sticks, manufactured tobacco and vaping products) acquired abroad are not included in the baggage accompanying the person, they may be classified under this tariff item if they are reported by the person at time of return to Canada."
98.04.30.00-00,"Goods acquired abroad by a resident or temporary resident of Canada or by a former resident who is returning to Canada to resume residence, for the personal or household use of that person or as souvenirs or gifts, but not bought on commission or as an accommodation for any other person or for sale, and reported by that person at time of return to Canada. - Valued at not more than three hundred dollars and included in the baggage accompanying the person returning from abroad after an absence from Canada of not less than forty-eight hours.

        For the purpose of this tariff item, goods shall not include those which could otherwise be imported into Canada free of duties, nor alcoholic beverages, cigars, cigarettes, tobacco sticks, manufactured tobacco or vaping products."
98.04.40.00-00,"Goods acquired abroad by a resident or temporary resident of Canada or by a former resident who is returning to Canada to resume residence, for the personal or household use of that person or as souvenirs or gifts, but not bought on commission or as an accommodation for any other person or for sale, and reported by that person at time of return to Canada. - Valued at not more than two hundred dollars and included in the baggage accompanying the person returning from abroad after an absence from Canada of not less than twenty-four hours.

        For the purpose of this tariff item, goods shall not include alcoholic beverages, cigars, cigarettes, tobacco sticks, manufactured tobacco or vaping products."
98.05.00.00,"Goods imported by a member of the Canadian Forces, by an employee of the Canadian government, or by a former resident of Canada returning to Canada to resume residence in Canada after having been a resident of another country for a period of not less than one year, or by a resident returning after an absence from Canada of not less than one year, and acquired by that person for personal or household use and actually owned, possessed and used abroad by that person for at least six months prior to that person's return to Canada and accompanying that person at the time of their return to Canada.

        ""Goods"" does not include goods that are sold or otherwise disposed of within twelve months after importation.

        For the purpose of this tariff item:
        (a) the provisions shall apply to either wine not exceeding 1.5 litres or any alcoholic beverages not exceeding 1.14 litres, tobacco not exceeding fifty cigars, two hundred cigarettes, two hundred tobacco sticks and two hundred grams of manufactured tobacco, and vaping products not exceeding 120 millilitres of vaping substance in liquid form, or 120 grams of vaping substance in solid form, within any combination of not more than twelve vaping devices and immediate containers, if they are included in the baggage accompanying the importer, and no relief from payment of duties is being claimed in respect of alcoholic beverages, tobacco or vaping products under another item in this Chapter at the time of importation;
        (b) if goods (other than alcoholic beverages, cigars, cigarettes, tobacco sticks, manufactured tobacco and vaping products) are not accompanying the person returning from abroad, they may be classified under this item when imported at a later time if they are reported by the person at the time of return to Canada; and
        (c) any article which was acquired after March 31, 1977 by a class of persons named in this tariff item and which has a value for duty as determined under the Customs Act of more than $10,000 shall not be classified under this tariff item."
98.05.00.00-10,"Goods imported by a member of the Canadian Forces, by an employee of the Canadian government, or by a former resident of Canada returning to Canada to resume residence in Canada after having been a resident of another country for a period of not less than one year, or by a resident returning after an absence from Canada of not less than one year, and acquired by that person for personal or household use and actually owned, possessed and used abroad by that person for at least six months prior to that person's return to Canada and accompanying that person at the time of their return to Canada.

        ""Goods"" does not include goods that are sold or otherwise disposed of within twelve months after importation.

        For the purpose of this tariff item:
        (a) the provisions shall apply to either wine not exceeding 1.5 litres or any alcoholic beverages not exceeding 1.14 litres, tobacco not exceeding fifty cigars, two hundred cigarettes, two hundred tobacco sticks and two hundred grams of manufactured tobacco, and vaping products not exceeding 120 millilitres of vaping substance in liquid form, or 120 grams of vaping substance in solid form, within any combination of not more than twelve vaping devices and immediate containers, if they are included in the baggage accompanying the importer, and no relief from payment of duties is being claimed in respect of alcoholic beverages, tobacco or vaping products under another item in this Chapter at the time of importation;
        (b) if goods (other than alcoholic beverages, cigars, cigarettes, tobacco sticks, manufactured tobacco and vaping products) are not accompanying the person returning from abroad, they may be classified under this item when imported at a later time if they are reported by the person at the time of return to Canada; and
        (c) any article which was acquired after March 31, 1977 by a class of persons named in this tariff item and which has a value for duty as determined under the Customs Act of more than $10,000 shall not be classified under this tariff item."
98.05.00.00-20,"Goods imported by a member of the Canadian Forces, by an employee of the Canadian government, or by a former resident of Canada returning to Canada to resume residence in Canada after having been a resident of another country for a period of not less than one year, or by a resident returning after an absence from Canada of not less than one year, and acquired by that person for personal or household use and actually owned, possessed and used abroad by that person for at least six months prior to that person's return to Canada and accompanying that person at the time of their return to Canada.

        ""Goods"" does not include goods that are sold or otherwise disposed of within twelve months after importation.

        For the purpose of this tariff item:
        (a) the provisions shall apply to either wine not exceeding 1.5 litres or any alcoholic beverages not exceeding 1.14 litres, tobacco not exceeding fifty cigars, two hundred cigarettes, two hundred tobacco sticks and two hundred grams of manufactured tobacco, and vaping products not exceeding 120 millilitres of vaping substance in liquid form, or 120 grams of vaping substance in solid form, within any combination of not more than twelve vaping devices and immediate containers, if they are included in the baggage accompanying the importer, and no relief from payment of duties is being claimed in respect of alcoholic beverages, tobacco or vaping products under another item in this Chapter at the time of importation;
        (b) if goods (other than alcoholic beverages, cigars, cigarettes, tobacco sticks, manufactured tobacco and vaping products) are not accompanying the person returning from abroad, they may be classified under this item when imported at a later time if they are reported by the person at the time of return to Canada; and
        (c) any article which was acquired after March 31, 1977 by a class of persons named in this tariff item and which has a value for duty as determined under the Customs Act of more than $10,000 shall not be classified under this tariff item."
98.05.00.00-30,"Goods imported by a member of the Canadian Forces, by an employee of the Canadian government, or by a former resident of Canada returning to Canada to resume residence in Canada after having been a resident of another country for a period of not less than one year, or by a resident returning after an absence from Canada of not less than one year, and acquired by that person for personal or household use and actually owned, possessed and used abroad by that person for at least six months prior to that person's return to Canada and accompanying that person at the time of their return to Canada.

        ""Goods"" does not include goods that are sold or otherwise disposed of within twelve months after importation.

        For the purpose of this tariff item:
        (a) the provisions shall apply to either wine not exceeding 1.5 litres or any alcoholic beverages not exceeding 1.14 litres, tobacco not exceeding fifty cigars, two hundred cigarettes, two hundred tobacco sticks and two hundred grams of manufactured tobacco, and vaping products not exceeding 120 millilitres of vaping substance in liquid form, or 120 grams of vaping substance in solid form, within any combination of not more than twelve vaping devices and immediate containers, if they are included in the baggage accompanying the importer, and no relief from payment of duties is being claimed in respect of alcoholic beverages, tobacco or vaping products under another item in this Chapter at the time of importation;
        (b) if goods (other than alcoholic beverages, cigars, cigarettes, tobacco sticks, manufactured tobacco and vaping products) are not accompanying the person returning from abroad, they may be classified under this item when imported at a later time if they are reported by the person at the time of return to Canada; and
        (c) any article which was acquired after March 31, 1977 by a class of persons named in this tariff item and which has a value for duty as determined under the Customs Act of more than $10,000 shall not be classified under this tariff item."
98.05.00.00-40,"Goods imported by a member of the Canadian Forces, by an employee of the Canadian government, or by a former resident of Canada returning to Canada to resume residence in Canada after having been a resident of another country for a period of not less than one year, or by a resident returning after an absence from Canada of not less than one year, and acquired by that person for personal or household use and actually owned, possessed and used abroad by that person for at least six months prior to that person's return to Canada and accompanying that person at the time of their return to Canada.

        ""Goods"" does not include goods that are sold or otherwise disposed of within twelve months after importation.

        For the purpose of this tariff item:
        (a) the provisions shall apply to either wine not exceeding 1.5 litres or any alcoholic beverages not exceeding 1.14 litres, tobacco not exceeding fifty cigars, two hundred cigarettes, two hundred tobacco sticks and two hundred grams of manufactured tobacco, and vaping products not exceeding 120 millilitres of vaping substance in liquid form, or 120 grams of vaping substance in solid form, within any combination of not more than twelve vaping devices and immediate containers, if they are included in the baggage accompanying the importer, and no relief from payment of duties is being claimed in respect of alcoholic beverages, tobacco or vaping products under another item in this Chapter at the time of importation;
        (b) if goods (other than alcoholic beverages, cigars, cigarettes, tobacco sticks, manufactured tobacco and vaping products) are not accompanying the person returning from abroad, they may be classified under this item when imported at a later time if they are reported by the person at the time of return to Canada; and
        (c) any article which was acquired after March 31, 1977 by a class of persons named in this tariff item and which has a value for duty as determined under the Customs Act of more than $10,000 shall not be classified under this tariff item."
98.06.00.00-00,"Personal and household effects of a resident of Canada who has died, on the condition that such goods were owned, possessed and used abroad by that resident;
        Personal and household effects received by a resident of Canada as a result of the death or in anticipation of death of a person who is not a resident of Canada, on condition that such goods were owned, possessed and used abroad by that non-resident;
        All the foregoing when bequeathed to a resident of Canada."
98.07.00.00-00,"Goods imported by a settler for the settler's household or personal use, if actually owned, possessed and used abroad by the settler prior to the settler's arrival in Canada and accompanying the settler at the time of the settler's arrival in Canada.

        For the purpose of this tariff item:
        (a) ""goods"" may include:
        (i) either wine not exceeding 1.5 litres or any alcoholic beverages not exceeding 1.14 litres,
        (ii) tobacco not exceeding fifty cigars, two hundred cigarettes, two hundred toabacco sticks and two hundred grams of manufactured tobacco, and
        (iii) vaping products not exceeding 120 millilitres of vaping substance in liquid form, or 120 grams of vaping substance in solid form, within any combination of not more than twelve vaping devices and immediate containers;
        (b) ""goods"" does not include imported goods that are sold or otherwise disposed of within twelve months after importation; and
        (c) if goods (other than alcoholic beverages, cigars, cigarettes, tobacco sticks, manufactured tobacco and vaping products) are not accompanying the settler at the time of the settler's arrival in Canada, they may be classified under this tariff item when imported at a later time if they are reported by the settler at the time of the settler's arrival in Canada."
98.08.00.00-00,"Articles for the personal or official use of representatives of foreign countries and of Her Majesty's Governments, and for the personal use of their families, suites or servants."
